#Programa,Categoría funcional,Categoría económica,Fecha,NIF,Nombre empresa,Descripción,Importe
Administración General ,920,22709,2019-01-01,A08663619,"CAIXABANK, S.A.",CAIXA 479 INTERESES-COMISIONES-GASTOS,12.0
Vías públicas,153,21000,2019-04-02,A08112716,"ACSA OBRAS E INFRAESTRUCTURAS, S.A.U.","Fra. SERVICIOS DE MANTENIMIENTO DE REDES DE SERVICIOS E INFRAESTRUCTURAS PUBLICAS DEL AYUNTAMIENTO DE MORALZARZAL, CERTIFICACIÓN Nº 2 - FEBRERO 2019, Expediente 8420/2016",1586.71
Vías públicas,153,22200,2019-04-02,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Feb, a 17 M",1.9
Gestión del Padrón Municipal de Habitantes,923,61000,2019-04-02,A50142041,"CONSULTORA ARAGONESA DE INGENIERIA,SA","Fra. REDACCION DE PROYECTO ""CARRIL BICI DESDE LA PLAZA DE TOROS HASTA EL POLIDEPORTIVO MUNICIPAL DE MORALZARZAL""",9680.0
Abastecimiento domiciliario de agua potable,161,21000,2019-04-02,A08112716,"ACSA OBRAS E INFRAESTRUCTURAS, S.A.U.","Fra. SERVICIOS DE MANTENIMIENTO DE REDES DE SERVICIOS E INFRAESTRUCTURAS PUBLICAS DEL AYUNTAMIENTO DE MORALZARZAL, CERTIFICACIÓN Nº 1 - ENERO 2019, Expediente 8420/2016",88179.96
Abastecimiento domiciliario de agua potable,161,21000,2019-04-02,A08112716,"ACSA OBRAS E INFRAESTRUCTURAS, S.A.U.","Fra. SERVICIOS DE MANTENIMIENTO DE REDES DE SERVICIOS E INFRAESTRUCTURAS PUBLICAS DEL AYUNTAMIENTO DE MORALZARZAL, CERTIFICACIÓN Nº 2 - FEBRERO 2019, Expediente 8420/2016",36590.82
Alumbrado público,165,22200,2019-04-02,A78923125,TELEFONICA SERVICIOS MOVILES SA,Fra. Movistar - Conectividad gestionada Kite CF: default Periodo: 1 ene 2019 - 31 ene 2019 - Cargos de cliente asociados a servicios básicos,257.81
Alumbrado público,165,22200,2019-04-02,A78923125,TELEFONICA SERVICIOS MOVILES SA,Fra. Movistar - Conectividad gestionada Kite CF: default Periodo: 1 feb 2019 - 28 feb 2019 - Cargos de cliente asociados a servicios básicos,258.21
Parques y jardines,171,22718,2019-04-02,000416690E,"CEREZO*TORTOSA,MARIA",Fra Servicio mantenimiento plantas edificios municipales Enero 2019,341.15
Parques y jardines,171,22718,2019-04-02,000416690E,"CEREZO*TORTOSA,MARIA",Fra. SERVICIO DE MANTENIMIENTO DE PLANTAS DE INTERIOR EN EDIFICIOS MUNICIPALES MES DE FEBRERO DE 2019,341.15
Asistencia a personas dependientes,234,22719,2019-04-02,051644706T,"DOMINGUEZ*RUBIO,MARIA VICTORIA","Fra. Clases de Taichi los días 5, 7, 12, 14, 19, 21, 26 y 28 de febrero",813.12
Fomento del Empleo,241,22200,2019-04-02,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Feb, a 17 M",1.94
Administración general de educación,320,21200,2019-04-02,B80713753,CE DE JARDINERIA APASCOVI SL,Fra.  enero de 2019s servicios de jardinería efectuados en los centros el educativos durante el mes de,599.95
Administración general de educación,320,22110,2019-04-02,B80377971,D.S. LINEA VERDE S.L.,"Fra. Suministro de material de limpieza  COLEGIO S,MIGUEL ARCANGEL",128.38
Promoción cultural,334,22200,2019-04-02,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Feb, a 17 M",1.73
Promoción cultural,334,22609,2019-04-02,G28029643,SOCIEDAD GENERAL DE AUTORES Y EDITORES,"Fra. 0003243740 CASA DE CULTURA TEATRO MUNICIPAL SALVADOR SANCHEZ FRASCUELO 26 , 11 MORALZARZAL 28411 REPRESENTACION 24/06/2017 GALLINA - CRISTIAN MORALES - - RAFAEL AMARGO -",65.52
Promoción cultural,334,22609,2019-04-02,G28029643,SOCIEDAD GENERAL DE AUTORES Y EDITORES,"Fra. 0003243740 CASA DE CULTURA TEATRO MUNICIPAL SALVADOR SANCHEZ FRASCUELO 26 , 11 MORALZARZAL 28411 REPRESENTACION 13/01/2018 LA EXTRAÑA PAREJA - NEIL SIMON - - - LA TRASTIE",114.94
Promoción cultural,334,22609,2019-04-02,000787384W,"MARTIN*PEREZ,JOSE RAMON",Fra 3 carteles Carnaval 2019,60.0
Juventud,339,22200,2019-04-02,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Feb, a 17 M",1.74
Administración General de Deportes,340,21300,2019-04-02,B83658518,AVD3 SL,Fra. CUOTA DE MANTENIMIENTO,111.08
Administración General de Deportes,340,21300,2019-04-02,B83658518,AVD3 SL,Fra. CUOTA DE MANTENIMIENTO,111.08
Administración General de Deportes,340,21601,2019-04-02,A80415433,I2A PROYECTOS INFORMATICOS SA,Fra.  EXPTE. 271/2018 -  LICENCIA Y MANTENIMIENTO DE PROGRAMA INFORMATICO DE GESTION USUARIOS DE AREA DE DEPORTESPERIODO: DEL 09.11.18 AL 08.0,363.0
Administración General de Deportes,340,22609,2019-04-02,B86986742,"PLAY OUT,S.L.","Fra. Pagos Fichas y arbitrajes FFM-IVA suplido correspondiente a pagos a la FFM Equipo Infantil 1 ficha auxiliar x 3,75¬ = 3,75¬ Minifutbol 10 fichas x 18,83 = 188,30 ¬ Arbitr",530.99
Administración General de Deportes,340,22609,2019-04-02,B86986742,"PLAY OUT,S.L.",Fra. Balones Kromex FFM (5-talla 3 y 10 talla 4),264.23
Administración General de Deportes,340,22706,2019-04-02,G86307535,CLUB DEPORTIVO ELEMENTAL UNION DE BALONCESTO VILLALBA,Fra. ASISTENCIA TÉCNICA ESCUELA MUNICIPAL DE BALONCESTO SEGÚN ACUERDO (7 GRUPOS),2100.0
Administración General de Deportes,340,22706,2019-04-02,B86397205,SPORTMADNESS EVENTOS SL,Fra. Baile Activo,7414.71
Piscina Cubierta Municipal ,343,22706,2019-04-02,B86397205,SPORTMADNESS EVENTOS SL,Fra. Aqua Gym,4957.42
Piscina Cubierta Municipal ,343,22799,2019-04-02,B86397205,SPORTMADNESS EVENTOS SL,Fra. SOS,6017.77
Órganos de gobierno,912,22200,2019-04-02,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Feb, a 17 M",10.37
Órganos de gobierno,912,22605,2019-04-02,012399496N,"GARCIA*CARMON,ANGELICA",Fra. Inserción publicitaria en Ocio en la Sierra Febrero 2019,242.0
Administración General ,920,22200,2019-04-02,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 649731963 Movistar - Tipo de contrato: Contrato Negocios - Nº de líneas: 1 - Lineas Facturadas: 649731963 - Periodo de Trafico: (18 Ene, a 17 Feb, 19) - Periodo de Cuotas",20.65
Administración General ,920,22200,2019-04-02,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 649731963 Movistar - Tipo de contrato: Contrato Negocios - Nº de líneas: 1 - Lineas Facturadas: 649731963 - Periodo de Trafico: (18 Feb, a 17 Mar, 19) - Periodo de Cuotas",46.36
Administración General ,920,22200,2019-04-02,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Feb, a 17 M",52.89
Administración General ,920,22602,2019-04-02,Q7850065I,PUBLICACIONES OFICIALES-BOCAM,Fra Contratacion concesion Bar Polideportivo 274/2019,179.7
Administración General ,920,22709,2019-04-02,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA,BBVA INTERESES-COMISIONES-GASTOS,10.89
Administración General ,920,22717,2019-04-02,B35664879,MHP SERVICIOS DE CONTROL SL,Fra. Servicio Integral de Control Horario: 01/02/2019 a 28/02/2019,484.0
Gestión del Padrón Municipal de Habitantes,923,62300,2019-04-02,B86788338,AZ2013 ARQUITECTURA E INGENIERIA SL,"Fra. Asistencia Técnica correspondiente a la actuación ""IMPLEMENTACIÓN DE CÁMARAS DE SEGURIDAD PARA EL AYUNTAMIENTO DE MORALZARZAL""",1185.8
Protección civil,135,21400,2019-04-03,000403777N,"GUADAÑO*ARIAS,JESUS",Fra Venta material,1.0
Protección civil,135,22199,2019-04-03,B80497985,FERRETERIA HERNANDEZ,Fra Cerradura buzon y otros,12.61
Protección civil,135,22199,2019-04-03,B86892775,RYASIERRA,Fra Conect Rapido Azul,2.52
Protección civil,135,22199,2019-04-03,051381536L,"JUSDADO*HERNAN,MARIA",Fra Copia llave seguridad y otros,40.4
Protección civil,135,22199,2019-04-03,B85794105,REPROMORAL SL,"Fra Pegatinas ""desa""",19.95
Protección civil,135,22199,2019-04-03,B85794105,REPROMORAL SL,Fra Carteles señalizacion,79.62
Protección civil,135,22199,2019-04-03,Y4744775G,"GRIGOROV*STEFANOV,TODOR",Fra Funda movil,7.0
Protección civil,135,22199,2019-04-03,000403777N,"GUADAÑO*ARIAS,JESUS",Fra Bombillas y humo simulacro,99.0
Protección civil,135,22199,2019-04-03,051381536L,"JUSDADO*HERNAN,MARIA",Fra llaves y mosquetones,7.42
Protección civil,135,23020,2019-04-03,E84358431,ROSA & JUAN C.B.,Fra Avituallamiento personal Navidad 2018,12.7
Parques y jardines,171,22501,2019-04-04,S7800001E,COMUNIDAD DE MADRID,Fra Tasa modelo 030 Autorizacion gestores residuos no peligrosos Punto Limpio,269.4
Parques y jardines,171,22501,2019-04-04,S7800001E,COMUNIDAD DE MADRID,Fra Tasa modelo 030 Autorizacion gestores residuos peligrosos Punto Limpio,269.4
Administración General ,920,22709,2019-04-05,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración Gral Seguridad y Protección Civil,130,21300,2019-04-08,B46001897,THYSSENKRUPP ELEVADORES SL,"Fra. POR EL SERVICIO DE MANTENIMIENTO DEL NUMERO DE APARATOS INDICADOS Dirección de Instalación: AV/SALVADOR SANCHEZ FRASCUELO ,26 - Moralzarzal Periodo Facturado: 01/02/2019",74.2
Administración Gral Seguridad y Protección Civil,130,21300,2019-04-08,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 5996/2016, Contrato: 74037175, Modelo: MP 3554SP, Num, Serie: G166P700066, CL RASO 11 , 28411 MORALZARZAL Edificio:POLICIA Depa",64.99
Administración Gral Seguridad y Protección Civil,130,21400,2019-04-08,B86223435,ITV CERCEDA S.L.,Fra. ITV 8334 DSL CITROEN jUMPER pOLICIA,49.15
Administración Gral Seguridad y Protección Civil,130,21400,2019-04-08,B86223435,ITV CERCEDA S.L.,Fra. 6348DWV Renault Clio  Policia,4.1
Administración Gral Seguridad y Protección Civil,130,21400,2019-04-08,B86223435,ITV CERCEDA S.L.,Fra. 6348DWV Renault Clio  Policia,53.65
Administración Gral Seguridad y Protección Civil,130,22103,2019-04-08,A80298839,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,Fra. F108393700 GASoLEO C   DIRECCION DE SUMINISTRO: POLICIA CALLE RASO 11 28411 MORALZARZAL Madrid,3154.29
Gestión del Padrón Municipal de Habitantes,923,22103,2019-04-08,A80298839,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,Fra. F108393700 GASoLEO C   DIRECCION DE SUMINISTRO: POLICIA CALLE RASO 11 28411 MORALZARZAL Madrid,1932.32
Administración Gral Seguridad y Protección Civil,130,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. TARIFA PLANA TELEFONÍA FIJA Periodo: 01/01/2019 al 31/01/2019 Coste mesual trafico + 80 extensiones,82.47
Administración Gral Seguridad y Protección Civil,130,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ ESTANDAR 2 LINEAS Periodo: 01/02/2019 al 28/02/2019,76.36
Protección civil,135,21400,2019-04-08,B86223435,ITV CERCEDA S.L.,Fra.  ITV Citroen Jumper   2216BTJ,53.0
Protección civil,135,21400,2019-04-08,B86223435,ITV CERCEDA S.L.,Fra.  ITV Citroen Jumper   2216BTJ,4.1
Protección civil,135,21400,2019-04-08,B86223435,ITV CERCEDA S.L.,Fra. PERIODICA NISSAN NAVARA 4X4  6594-FNP,53.65
Protección civil,135,21400,2019-04-08,B86223435,ITV CERCEDA S.L.,Fra. PERIODICA NISSAN NAVARA 4X4  6594-FNP,4.1
Protección civil,135,21400,2019-04-08,B86223435,ITV CERCEDA S.L.,Fra. 5690FFK Toyota Hilux  y 5258HCH Reanult Trafic,91.21
Protección civil,135,21400,2019-04-08,B86223435,ITV CERCEDA S.L.,Fra. 5690FFK Toyota Hilux  y 5258HCH Reanult Trafic,8.2
Urbanismo:plamen.gest.ejec.y discip.urban.,151,22706,2019-04-08,005275614N,"CASTILLO*MONTOYA DEL,ENRIQUE","Fra. Prestación de servicios de ingeniería industrial para el Ayuntamiento, según contrato administrativo expediente 387/2017 de fecha 5 de mayo de 2017, Según cláusula 24,2,-",2640.0
Vías públicas,153,21400,2019-04-08,B86223435,ITV CERCEDA S.L.,Fra.  ITV Renault Kangoo  8552  DZD  URBANISMO  Y 2132  BSL NISSAN ATLEON URBANISMO PERIODICA OJO!!! COMPENSAR DIF PAD,119.24
Vías públicas,153,21400,2019-04-08,B86223435,ITV CERCEDA S.L.,"Fra.  ITV  toyota hilux 4*4 M7344VZ, camion calle  8321CGF, 2494HFX y 4422JPP",12.3
Vías públicas,153,21400,2019-04-08,B86223435,ITV CERCEDA S.L.,"Fra.  ITV  toyota hilux 4*4 M7344VZ, camion calle  8321CGF, 2494HFX y 4422JPP",135.14
Parques y jardines,171,21400,2019-04-08,B86223435,ITV CERCEDA S.L.,"Fra.  ITV  toyota hilux 4*4 M7344VZ, camion calle  8321CGF, 2494HFX y 4422JPP",53.4
Administración General de servicios sociales,230,21300,2019-04-08,B46001897,THYSSENKRUPP ELEVADORES SL,"Fra. POR EL SERVICIO DE MANTENIMIENTO DEL NUMERO DE APARATOS INDICADOS Dirección de Instalación: AV/SALVADOR SANCHEZ FRASCUELO ,26 - Moralzarzal Periodo Facturado: 01/02/2019",74.2
Administración General de servicios sociales,230,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. TARIFA PLANA TELEFONÍA FIJA Periodo: 01/01/2019 al 31/01/2019 Coste mesual trafico + 80 extensiones,94.26
Administración General de servicios sociales,230,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ ESTANDAR 2 LINEAS Periodo: 01/02/2019 al 28/02/2019,87.28
Asistencia a personas dependientes,234,21300,2019-04-08,B46001897,THYSSENKRUPP ELEVADORES SL,"Fra. POR EL SERVICIO DE MANTENIMIENTO DEL NUMERO DE APARATOS INDICADOS Dirección de Instalación: AV/SALVADOR SANCHEZ FRASCUELO ,26 - Moralzarzal Periodo Facturado: 01/02/2019",74.2
Asistencia a personas dependientes,234,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. TARIFA PLANA TELEFONÍA FIJA Periodo: 01/01/2019 al 31/01/2019 Coste mesual trafico + 80 extensiones,23.56
Asistencia a personas dependientes,234,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ ESTANDAR 2 LINEAS Periodo: 01/02/2019 al 28/02/2019,21.82
Asistencia a personas dependientes,234,22719,2019-04-08,002913767N,"HUELAMO*MERCADER,JORGE",Fra gimnasia mayores,840.71
Fomento del Empleo,241,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. TARIFA PLANA TELEFONÍA FIJA Periodo: 01/01/2019 al 31/01/2019 Coste mesual trafico + 80 extensiones,11.79
Fomento del Empleo,241,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ ESTANDAR 2 LINEAS Periodo: 01/02/2019 al 28/02/2019,10.91
Fomento del Empleo,241,22706,2019-04-08,G80980584,ASOCIACION ESLABON INICIATIVA PROMOCION DE EMPLEO,"Fra. Actividades mes Programa Dinamizamoral 2019: Facturación actividad de febrero de 2019,",2923.75
Administración general de educación,320,21300,2019-04-08,B46001897,THYSSENKRUPP ELEVADORES SL,"Fra. POR EL SERVICIO DE MANTENIMIENTO DEL NUMERO DE APARATOS INDICADOS Dirección de Instalación: AV/SALVADOR SANCHEZ FRASCUELO ,26 - Moralzarzal Periodo Facturado: 01/02/2019",222.62
Bibliotecas y Archivos,332,21300,2019-04-08,B46001897,THYSSENKRUPP ELEVADORES SL,"Fra. POR EL SERVICIO DE MANTENIMIENTO DEL NUMERO DE APARATOS INDICADOS Dirección de Instalación: AV/SALVADOR SANCHEZ FRASCUELO ,26 - Moralzarzal Periodo Facturado: 01/02/2019",74.2
Bibliotecas y Archivos,332,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. TARIFA PLANA TELEFONÍA FIJA Periodo: 01/01/2019 al 31/01/2019 Coste mesual trafico + 80 extensiones,23.56
Bibliotecas y Archivos,332,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ ESTANDAR 2 LINEAS Periodo: 01/02/2019 al 28/02/2019,21.82
Promoción cultural,334,21300,2019-04-08,B46001897,THYSSENKRUPP ELEVADORES SL,"Fra. POR EL SERVICIO DE MANTENIMIENTO DEL NUMERO DE APARATOS INDICADOS Dirección de Instalación: AV/SALVADOR SANCHEZ FRASCUELO ,26 - Moralzarzal Periodo Facturado: 01/02/2019",148.41
Promoción cultural,334,21300,2019-04-08,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 5996/2016, Contrato: 74037175, Modelo: MP 3554SP, Num, Serie: G166P700066, CL RASO 11 , 28411 MORALZARZAL Edificio:POLICIA Depa",43.57
Promoción cultural,334,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. TARIFA PLANA TELEFONÍA FIJA Periodo: 01/01/2019 al 31/01/2019 Coste mesual trafico + 80 extensiones,82.47
Promoción cultural,334,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ ESTANDAR 2 LINEAS Periodo: 01/02/2019 al 28/02/2019,76.36
Promoción cultural,334,22706,2019-04-08,G85970846,ASOCIACION ENTRE COMILLAS,"Fra. Clases de teatro durante el mes de marzo, Con un total de  43 Alumnos a 20¬ por alumno",860.0
Promoción cultural,334,22706,2019-04-08,B86822707,ESCUELA DUENDE SL,Fra. CLASES DE DANZA Clases de Baile  361 alumnos x 21¬ Clases de examen 24 alumnos x 14¬,7917.0
Promoción cultural,334,22706,2019-04-08,B86822707,ESCUELA DUENDE SL,Fra. CLASES DE PILATES Clases de Pilates 124 alumnos x 21¬,2604.0
Promoción cultural,334,22706,2019-04-08,000799597W,"ANDRADE*CRUZ,MARIA ASCENSION",Fra Corte y Confeccion mes de marzo,636.0
Promoción cultural,334,22706,2019-04-08,B85647352,DARFE LEARNING CONSULTING SL EN CONSTITUCION,"Fra. 2019008 Taller de formación de meditación, Mindfullness, factura correspondiente a la quinta mensualidad, de las nueve ofertadas para el curso 2018-2019",399.3
Promoción cultural,334,22708,2019-04-08,B78565470,SOTO MESA S.L.,Fra. GESTIÓN SERVICIO DOCENTE ESCUELA MUNICIPAL DE MÚSICA Marzo 2019,6000.0
Instalaciones de ocupación del tiempo libre,337,21300,2019-04-08,B46001897,THYSSENKRUPP ELEVADORES SL,"Fra. POR EL SERVICIO DE MANTENIMIENTO DEL NUMERO DE APARATOS INDICADOS Dirección de Instalación: AV/SALVADOR SANCHEZ FRASCUELO ,26 - Moralzarzal Periodo Facturado: 01/02/2019",74.21
Juventud,339,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. TARIFA PLANA TELEFONÍA FIJA Periodo: 01/01/2019 al 31/01/2019 Coste mesual trafico + 80 extensiones,35.34
Juventud,339,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ ESTANDAR 2 LINEAS Periodo: 01/02/2019 al 28/02/2019,32.73
Administración General de Deportes,340,21300,2019-04-08,B46001897,THYSSENKRUPP ELEVADORES SL,"Fra. POR EL SERVICIO DE MANTENIMIENTO DEL NUMERO DE APARATOS INDICADOS Dirección de Instalación: AV/SALVADOR SANCHEZ FRASCUELO ,26 - Moralzarzal Periodo Facturado: 01/02/2019",74.21
Administración General de Deportes,340,21300,2019-04-08,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 5996/2016, Contrato: 74037175, Modelo: MP 3554SP, Num, Serie: G166P700066, CL RASO 11 , 28411 MORALZARZAL Edificio:POLICIA Depa",26.46
Administración General de Deportes,340,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. TARIFA PLANA TELEFONÍA FIJA Periodo: 01/01/2019 al 31/01/2019 Coste mesual trafico + 80 extensiones,82.47
Administración General de Deportes,340,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ ESTANDAR 2 LINEAS Periodo: 01/02/2019 al 28/02/2019,76.36
Administración General de Deportes,340,22706,2019-04-08,B81493645,CENTRO DEPORTIVO VILLALBA SL,Fra. karate,660.66
Administración General de Deportes,340,22706,2019-04-08,B81493645,CENTRO DEPORTIVO VILLALBA SL,Fra. judo,1038.18
Administración General de Deportes,340,22706,2019-04-08,B81493645,CENTRO DEPORTIVO VILLALBA SL,"Fra. g, ritmica competicion 7 GRUPOS DE COMPETICION",2849.55
Administración General de Deportes,340,22706,2019-04-08,B86986742,"PLAY OUT,S.L.","Fra. Monitores Fútbol y Fútbol sala marzo 2019 Fútbol: Entrenador Juvenil, Cadete, Infantil A, Alevín F7 Federado, Alevín F7 ADS, Benjamín Federado, Benjamín ADS, Prebenjamín,",6566.67
Piscina Cubierta Municipal ,343,22103,2019-04-08,A80298839,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,Fra. F108393500 GASoLEO C   DIRECCION DE SUMINISTRO: PISCINA CALLE CANADA 50 28411 MORALZARZAL Madrid,10334.82
Piscina Cubierta Municipal ,343,22799,2019-04-08,B86397205,SPORTMADNESS EVENTOS SL,Fra. SOS MARZO,6579.67
Órganos de gobierno,912,21300,2019-04-08,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 5996/2016, Contrato: 74037175, Modelo: MP 3554SP, Num, Serie: G166P700066, CL RASO 11 , 28411 MORALZARZAL Edificio:POLICIA Depa",11.8
Órganos de gobierno,912,21300,2019-04-08,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 5996/2016, Contrato: 74037175, Modelo: MP 3554SP, Num, Serie: G166P700066, CL RASO 11 , 28411 MORALZARZAL Edificio:POLICIA Depa",324.85
Órganos de gobierno,912,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. TARIFA PLANA TELEFONÍA FIJA Periodo: 01/01/2019 al 31/01/2019 Coste mesual trafico + 80 extensiones,11.79
Órganos de gobierno,912,22200,2019-04-08,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ ESTANDAR 2 LINEAS Periodo: 01/02/2019 al 28/02/2019,10.91
Administración General ,920,21300,2019-04-08,B46001897,THYSSENKRUPP ELEVADORES SL,"Fra. POR EL SERVICIO DE MANTENIMIENTO DEL NUMERO DE APARATOS INDICADOS Dirección de Instalación: AV/SALVADOR SANCHEZ FRASCUELO ,26 - Moralzarzal Periodo Facturado: 01/02/2019",74.2
